IATA,ICAO,Name,Country,City,UTC,Latitude,Longitude
AAA,NTGA,Anaa Airport,French Polynesia,Anaa,,,
AAB,YARY,Arrabury Airport,Australia,Tanbar,,,
AAC,HEAR,El Arish International Airport,Egypt,El Arish,,,
AAD,,Adado Airport,Somalia,Adado,,,
AAE,DABB,Annaba Rabah Bitat Airport,Algeria,Annaba,,,
AAF,KAAF,Apalachicola Regional Airport,United States of America,Apalachicola,,,
AAG,SSYA,Fazenda Tropical Airport,Brazil,São Luiz do Norte,,,
AAH,EDKA,Aachen-Merzbrück Airport,Germany,Aachen,,,
AAI,SWRA,Arraias Airport,Brazil,Arraias,,,
AAJ,,Cayana Airstrip,Suriname,Awaradam,,,
AAK,NGUK,Aranuka Airport,Kiribati,Buariki,,,
AAL,EKYT,Aalborg Airport,Denmark,Aalborg,,,
AAM,FAMD,Malamala Airport,South Africa,Malamala,,,
AAN,OMAL,Al Ain International Airport,United Arab Emirates,Al Ain,,,
AAO,SVAN,Anaco Airport,Venezuela,Anaco,,,
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,Indonesia,Samarinda,,,
AAQ,URKA,Anapa Vityazevo Airport,Russia,Krasnyi Kurgan,,,
AAR,EKAH,Aarhus Airport,Denmark,Aarhus,,,
AAS,,Apalapsili Airport,Indonesia,Apalapsili,,,
AAT,ZWAT,Altay Xuedu Airport,China,Altay,,,
AAU,NSAU,Asau Airport,Samoa,Asau,,,
AAV,RPMA,Allah Valley Airport,Philippines,Surallah,,,
AAX,SBAX,Romeu Zema Airport,Brazil,Araxá,,,
AAY,OYGD,Al Ghaydah International Airport,Yemen,Al Ghaydah,,,
AAZ,MGQZ,Quezaltenango Airport,Guatemala,Quezaltenango,,,
ABA,UNAA,Abakan International Airport,Russia,Abakan,,,
ABB,DNAS,Asaba International Airport,Nigeria,Asaba,,,
ABC,LEAB,Albacete Airport / Los Llanos Air Base,Spain,Albacete,,,
ABD,OIAA,Abadan Ayatollah Jami International Airport,Iran,Abadan,,,
ABE,KABE,Lehigh Valley International Airport,United States of America,Allentown/Bethlehem,,,
ABF,NGAB,Abaiang Airport,Kiribati,Abaiang,,,
ABG,YABI,Abingdon Downs Airport,Australia,Abingdon Downs,,,
ABH,,Alpha Airport,Australia,Alpha,,,
ABI,KABI,Abilene Regional Airport,United States of America,Abilene,,,
ABJ,DIAP,Félix-Houphouët-Boigny International Airport,Ivory Coast,Abidjan,,,
ABK,HAKD,Kebri Dahar Airport,Ethiopia,Kebri Dahar,,,
ABL,PAFM,Ambler Airport,United States of America,Ambler,,,
ABM,YNPE,Northern Peninsula Airport,Australia,Bamaga,,,
ABN,SMBN,Albina Airport,Suriname,Albina,,,
ABO,DIAO,Aboisso Airport,Ivory Coast,Aboisso,,,
ABP,,Atkamba Airport,Papua New Guinea,Atkamba Mission,,,
ABQ,KABQ,Albuquerque International Sunport,United States of America,Albuquerque,,,
ABR,KABR,Aberdeen Regional Airport,United States of America,Aberdeen,,,
ABS,HEBL,Abu Simbel Airport,Egypt,Abu Simbel,,,
ABT,OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,Saudi Arabia,Al-Baha,,,
ABU,WATA,AA Bere Tallo (Haliwen) Airport,Indonesia,Atambua,,,
ABV,DNAA,Nnamdi Azikiwe International Airport,Nigeria,Abuja,,,
ABX,YMAY,Albury Airport,Australia,East Albury,,,
ABY,KABY,Southwest Georgia Regional Airport,United States of America,Albany,,,
ABZ,EGPD,Aberdeen International Airport,United Kingdom,Aberdeen,,,
ACA,MMAA,General Juan N. Álvarez International Airport,Mexico,Acapulco,,,
ACB,KACB,Antrim County Airport,United States of America,Bellaire,,,
ACC,DGAA,Kotoka International Airport,Ghana,Accra,,,
ACD,SKAD,Alcides Fernández Airport,Colombia,Acandí,,,
ACE,GCRR,César Manrique-Lanzarote Airport,Spain,San Bartolomé,,,
ACF,ZWAL,Aral Tarim Airport,China,Aral,,,
ACH,LSZR,Sankt Gallen Altenrhein Airport,Switzerland,St. Gallen,,,
ACI,EGJA,Alderney Airport,Guernsey,Saint Anne,,,
ACJ,VCCA,Anuradhapura Airport,Sri Lanka,Anuradhapura,,,
ACK,KACK,Nantucket Memorial Airport,United States of America,Nantucket,,,
ACN,MMCC,Ciudad Acuña International Airport,Mexico,Ciudad Acuña,,,
ACP,OITM,Sahand Airport,Iran,Maragheh,,,
ACR,SKAC,Araracuara Airport,Colombia,Araracuara,,,
ACS,UNKS,Achinsk Airport,Russia,Achinsk,,,
ACT,KACT,Waco Regional Airport,United States of America,Waco,,,
ACU,,Achutupu Airport,Panama,Mamitupu,,,
ACV,KACV,California Redwood Coast-Humboldt County Airport,United States of America,Arcata/Eureka,,,
ACX,ZUYI,Xingyi Wanfenglin Airport,China,Xingyi,,,
ACY,KACY,Atlantic City International Airport,United States of America,Atlantic City,,,
ACZ,OIZB,Zabol Airport,Iran,Zabol,,,
ADA,LTAF,Adana Şakirpaşa Airport,Turkey,Seyhan,,,
ADB,LTBJ,Adnan Menderes International Airport,Turkey,Gaziemir,,,
ADC,,Andakombe Airport,Papua New Guinea,Andekombe,,,
ADD,HAAB,Addis Ababa Bole International Airport,Ethiopia,Addis Ababa,,,
ADE,OYAA,Aden International Airport,Yemen,Aden,,,
ADF,LTCP,Adıyaman Airport,Turkey,Adıyaman,,,
ADG,KADG,Lenawee County Airport,United States of America,Adrian,,,
ADH,UEEA,Aldan Airport,Russia,Aldan,,,
ADI,FYAR,Arandis Airport,Namibia,Arandis,,,
ADJ,OJAM,Marka International (Amman Civil) Airport,Jordan,Amman,,,
ADK,PADK,Adak Airport,United States of America,Adak,,,
ADL,YPAD,Adelaide International Airport,Australia,Adelaide,,,
ADM,KADM,Ardmore Municipal Airport,United States of America,Ardmore,,,
ADO,YAMK,Andamooka Airport,Australia,Andamooka,,,
ADP,VCCG,Ampara Airport,Sri Lanka,Ampara,,,
ADQ,PADQ,Kodiak Airport,United States of America,Kodiak,,,
ADR,KPHH,Robert F Swinnie Airport,United States of America,Andrews,,,
ADS,KADS,Addison Airport,United States of America,Dallas,,,
ADT,KADH,Ada Regional Airport,United States of America,Ada,,,
ADU,OITL,Ardabil Airport,Iran,Ardabil,,,
ADV,,El Daein Airport,Sudan,El Daein,,,
ADW,KADW,Joint Base Andrews,United States of America,Camp Springs,,,
ADX,EGQL,Leuchars Station Airfield,United Kingdom,"Leuchars, Fife",,,
ADY,FAAL,Alldays Airport,South Africa,Alldays,,,
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,Colombia,San Andrés,,,
AEA,NGTB,Abemama Airport,Kiribati,Abemama,,,
AEB,ZGBS,Baise (Bose) Bama Airport,China,Baise (Tianyang),,,
AEE,,Adareil Airport,South Sudan,Adar,,,
AEG,WIME,Aek Godang Airport,Indonesia,Padang Sidempuan,,,
AEH,FTTC,Abeche Airport,Chad,Abeche,,,
AEK,,Aseki Airport,Papua New Guinea,Aseki,,,
AEL,KAEL,Albert Lea Municipal Airport,United States of America,Albert Lea,,,
AEM,UHTG,Amgu Airport,Russia,Amgu,,,
AEO,GQNA,Aioun el Atrouss Airport,Mauritania,Aioun El Atrouss,,,
AEP,SABE,Aeroparque Jorge Newbery,Argentina,Buenos Aires,,,
AEQ,,Ar Horqin Airport,China,Chifeng,,,
AER,URSS,Sochi International Airport,Russia,Sochi,,,
AES,ENAL,Ålesund Airport,Norway,Ålesund,,,
AET,PFAL,Allakaket Airport,United States of America,Allakaket,,,
AEU,OIBA,Abu Musa Island Airport,Iran,Abu Musa,,,
AEX,KAEX,Alexandria International Airport,United States of America,Alexandria,,,
AEY,BIAR,Akureyri International Airport,Iceland,Akureyri,,,
AFA,SAMR,Suboficial Ay Santiago Germano Airport,Argentina,San Rafael,,,
AFD,FAPA,Port Alfred Airport,South Africa,Port Alfred,,,
AFF,KAFF,USAF Academy Airfield,United States of America,Colorado Springs,,,
AFI,SKAM,Amalfi Airport,Colombia,Amalfi,,,
AFL,SBAT,Piloto Osvaldo Marques Dias Airport,Brazil,Alta Floresta,,,
AFN,KAFN,Jaffrey Airfield Silver Ranch Airport,United States of America,Jaffrey,,,
AFO,KAFO,Afton Municipal Airport,United States of America,Afton,,,
AFR,,Afore Airstrip,Papua New Guinea,Afore,,,
AFS,UTSN,Sugraly Airport,Uzbekistan,Zarafshan,,,
AFT,AGAF,Afutara Aerodrome,Solomon Islands,Bila,,,
AFW,KAFW,Perot Field/Fort Worth Alliance Airport,United States of America,Fort Worth,,,
AFZ,OIMS,Sabzevar National Airport,Iran,Sabzevar,,,
AGA,GMAD,Al Massira Airport,Morocco,Agadir (Temsia),,,
AGB,EDMA,Augsburg Airport,Germany,Augsburg,,,
AGC,KAGC,Allegheny County Airport,United States of America,Pittsburgh,,,
AGD,,Anggi Airport,Indonesia,Anggi-Papua Island,,,
AGE,EDWG,Wangerooge Airport,Germany,Wangerooge,,,
AGF,LFBA,Agen La Garenne airport,France,Agen,,,
AGG,,Angoram Airport,Papua New Guinea,Angoram,,,
AGH,ESTA,Ängelholm-Helsingborg Airport,Sweden,Ängelholm,,,
AGI,SMWA,Wageningen Airstrip,Suriname,Wageningen,,,
AGJ,RORA,Aguni Airport,Japan,Aguni,,,
AGK,,Kagua Airport,Papua New Guinea,Kagua,,,
AGL,,Wanigela Airport,Papua New Guinea,Wanigela,,,
AGO,KAGO,Magnolia Municipal Airport / Ralph C Weiser Field,United States of America,Magnolia,,,
AGP,LEMG,Málaga-Costa del Sol Airport,Spain,Málaga,,,
AGR,VIAG,Agra Airport / Agra Air Force Station,India,Agra,,,
AGS,KAGS,Augusta Regional At Bush Field,United States of America,Augusta,,,
AGT,SGES,Guaraní International Airport,Paraguay,Ciudad del Este,,,
AGU,MMAS,Aguascalientes International Airport,Mexico,Aguascalientes,,,
AGV,SVAC,Oswaldo Guevara Mujica Airport,Venezuela,Acarigua,,,
AGW,,Agnew Airport,Australia,Agnew,,,
AGX,VOAT,Agatti Airport,India,Agatti,,,
AGY,,Argyle Downs Airport,Australia,Argyle Downs,,,
AGZ,FAAG,Aggeneys Airport,South Africa,Aggeneys,,,
AHA,,Maa Mahamaya Airport,India,Ambikapur,,,
AHB,OEAB,Abha International Airport,Saudi Arabia,Abha,,,
AHC,KAHC,Amedee Army Air Field,United States of America,Herlong,,,
AHD,,Ardmore Downtown Executive Airport,United States of America,Ardmore,,,
AHE,NTHE,Ahe Airport,French Polynesia,Ahe Atoll,,,
AHF,,Arapahoe Municipal Airport,United States of America,Arapahoe,,,
AHH,KAHH,Amery Municipal Airport,United States of America,Amery,,,
AHI,WAPA,Amahai Airport,Indonesia,Amahai,,,
AHJ,ZUHY,Hongyuan Airport,China,Ngawa (Hongyuan),,,
AHL,SYAH,Aishalton Airport,Guyana,Aishalton,,,
AHM,,Ashland Municipal Airport Sumner Parker Field,United States of America,Ashland,,,
AHN,KAHN,Athens Ben Epps Airport,United States of America,Athens,,,
AHO,LIEA,Alghero-Fertilia Airport,Italy,Alghero,,,
AHS,MHAH,Ahuas Airport,Honduras,Ahuas,,,
AHU,GMTA,Cherif Al Idrissi Airport,Morocco,Al Hoceima,,,
AHY,,Ambatolhy Airport,Madagascar,Ambatolahy,,,
AHZ,LFHU,L'Alpe d'Huez - Henri Giraud Altiport,France,"Huez, Isère",,,
AIA,KAIA,Alliance Municipal Airport,United States of America,Alliance,,,
AIC,,Ailinglaplap Airok Airport,Marshall Islands,Bigatyelang Island,,,
AID,KAID,Anderson Municipal Darlington Field,United States of America,Anderson,,,
AIE,,Aiome Airport,Papua New Guinea,Aiome,,,
AIF,SNAX,Marcelo Pires Halzhausen Airport,Brazil,Assis,,,
AIG,FEFY,Yalinga Airport,Central African Republic,Yalinga,,,
AIH,,Aiambak Airport,Papua New Guinea,Aiambak,,,
AII,HDAS,Ali-Sabieh Airport,Djibouti,Ali-Sabieh,,,
AIK,KAIK,Aiken Regional Airport,United States of America,Aiken,,,
AIL,,Ailigandí Airport,Panama,Isla Lorenzo Bello,,,
AIM,,Ailuk Airport,Marshall Islands,Ailuk Island,,,
AIN,PAWI,Wainwright Airport,United States of America,Wainwright,,,
AIO,KAIO,Atlantic Municipal Airport,United States of America,Atlantic,,,
AIP,VIAX,Adampur Airport,India,Adampur,,,
AIR,SWRP,Aripuanã Airport,Brazil,Aripuanã,,,
AIS,NGTR,Arorae Island Airport,Kiribati,Arorae Island,,,
AIT,NCAI,Aitutaki Airport,Cook Islands,Aitutaki,,,
AIU,NCAT,Enua Airport,Cook Islands,Atiu Island,,,
AIV,KAIV,George Downer Airport,United States of America,Aliceville,,,
AIW,FYAA,Ai-Ais Airport,Namibia,Ai-Ais,,,
AIZ,KAIZ,Lee C Fine Memorial Airport,United States of America,Kaiser Lake Ozark,,,
AJA,LFKJ,Ajaccio Napoléon Bonaparte airport,France,Ajaccio,,,
AJF,OESK,Al-Jawf International Airport,Saudi Arabia,Al-Jawf,,,
AJI,LTCO,Ağrı Airport,Turkey,Ağrı,,,
AJJ,GQNJ,Akjoujt Airport,Mauritania,Akjoujt,,,
AJK,OIHR,Arak Airport,Iran,Araak,,,
AJL,VELP,Lengpui Airport,India,Aizawl (Lengpui),,,
AJN,FMCV,Ouani Airport,Comoros,Ouani,,,
AJR,ESNX,Arvidsjaur Airport,Sweden,Arvidsjaur,,,
AJS,,Punta Abreojos Airport,Mexico,Mulegé,,,
AJU,SBAR,Aracaju - Santa Maria Airport,Brazil,Aracaju,,,
AJY,DRZA,Mano Dayak International Airport,Niger,Agadez,,,
AKA,ZLAK,Ankang Fuqiang Airport,China,Ankang (Hanbin),,,
AKB,PAAK,Atka Airport,United States of America,Atka,,,
AKC,KAKR,Akron Fulton International Airport,United States of America,Akron,,,
AKD,VAAK,Akola Airport,India,Akola,,,
AKE,,Akieni Airport,Gabon,Akieni,,,
AKF,HLKF,Kufra Airport,Libya,Kufra,,,
AKG,,Anguganak Airport,Papua New Guinea,Anguganak,,,
AKI,PFAK,Akiak Airport,United States of America,Akiak,,,
AKJ,RJEC,Asahikawa Airport,Japan,Higashikagura,,,
AKK,PAKH,Akhiok Airport,United States of America,Akhiok,,,
AKL,NZAA,Auckland International Airport,New Zealand,Auckland,,,
AKM,,Zakuoma Airport,Chad,ZaKouma,,,
AKN,PAKN,King Salmon Airport,United States of America,King Salmon,,,
AKO,KAKO,Colorado Plains Regional Airport,United States of America,Akron,,,
AKP,PAKP,Anaktuvuk Pass Airport,United States of America,Anaktuvuk Pass,,,
AKQ,,Astra Ksetra Airport,Indonesia,Menggala,,,
AKR,DNAK,Akure Airport,Nigeria,Akure,,,
AKS,AGGA,Gwaunaru'u Airport,Solomon Islands,Auki,,,
AKT,LCRA,RAF Akrotiri,Cyprus,Akrotiri,,,
AKU,ZWAK,Aksu Hongqipo Airport,China,Aksu (Onsu),,,
AKV,CYKO,Akulivik Airport,Canada,Akulivik,,,
AKW,OIAG,Aghajari Airport,Iran,Omidiyeh,,,
AKX,UATT,Aktobe International Airport,Kazakhstan,Aktobe,,,
AKY,VYSW,Sittwe Airport,Myanmar,Sittwe,,,
ALA,UAAA,Almaty International Airport,Kazakhstan,Almaty,,,
ALB,KALB,Albany International Airport,United States of America,Albany,,,
ALC,LEAL,Alicante-Elche Miguel Hernández Airport,Spain,Alicante,,,
ALD,SPAR,Alerta Airport,Peru,Fortaleza,,,
ALE,,Alpine Casparis Municipal Airport,United States of America,Alpine,,,
ALF,ENAT,Alta Airport,Norway,Alta,,,
ALG,DAAG,Houari Boumediene Airport,Algeria,Algiers,,,
ALH,YABA,Albany Airport,Australia,Albany,,,
ALI,KALI,Alice International Airport,United States of America,Alice,,,
ALJ,FAAB,Alexander Bay Airport,South Africa,Alexander Bay,,,
ALL,LIMG,Riviera Villanova d'Albenga International Airport,Italy,Villanova d'Albenga (SV),,,
ALM,KALM,Alamogordo White Sands Regional Airport,United States of America,Alamogordo,,,
ALN,KALN,St Louis Regional Airport,United States of America,Alton/St Louis,,,
ALO,KALO,Waterloo Regional Airport,United States of America,Waterloo,,,
ALP,OSAP,Aleppo International Airport,Syria,Aleppo,,,
ALQ,SSLT,Alegrete Novo Airport,Brazil,Alegrete,,,
ALR,NZLX,Alexandra Aerodrome,New Zealand,Alexandra,,,
ALS,KALS,San Luis Valley Regional Airport/Bergman Field,United States of America,Alamosa,,,
ALT,,Alenquer Municipal Airport,Brazil,Alenquer,,,
ALU,HCMA,Alula Airport,Somalia,Alula,,,
ALW,KALW,Walla Walla Regional Airport,United States of America,Walla Walla,,,
ALX,KALX,Thomas C Russell Field,United States of America,Alexander City,,,
AMA,KAMA,Rick Husband Amarillo International Airport,United States of America,Amarillo,,,
AMB,FMNE,Ambilobe Airport,Madagascar,Ambilobe,,,
AMC,FTTN,Am Timan Airport,Chad,Am Timan,,,
AMD,VAAH,Sardar Vallabh Patel International Airport,India,Ahmedabad,,,
AME,,Alto Molocue Airport,Mozambique,Alto Molocue,,,
AMF,AYAA,Ama Airport,Papua New Guinea,Ama,,,
AMH,HAAM,Arba Minch Airport,Ethiopia,Arba Minch,,,
AMI,WADA,Selaparang Airport,Indonesia,Mataram,,,
AMJ,SNAR,Cirilo Queiróz Airport,Brazil,Almenara,,,
AMK,,Animas Air Park,United States of America,Durango,,,
AMM,OJAI,Queen Alia International Airport,Jordan,Amman,,,
AMN,KAMN,Gratiot Community Airport,United States of America,Alma,,,
AMO,FTTU,Mao Airport,Chad,Mao,,,
AMP,FMSY,Ampanihy Airport,Madagascar,Ampanihy,,,
AMQ,WAPP,Pattimura International Airport,Indonesia,Ambon,,,
AMS,EHAM,Amsterdam Airport Schiphol,Netherlands,Amsterdam,,,
AMT,YAMT,Amata Airport,Australia,Amata,,,
AMU,,Amanab Airport,Papua New Guinea,Amanab,,,
AMV,ULDD,Amderma Airport,Russia,Amderma,,,
AMW,KAMW,Ames Municipal Airport,United States of America,Ames,,,
AMX,YAMM,Ammaroo Airport,Australia,Ammaroo,,,
AMY,,Ambatomainty Airport,Madagascar,Ambatomainty,,,
AMZ,NZAR,Ardmore Airport,New Zealand,Manurewa,,,
ANA,,Angama Mara Airport,Kenya,Lolgorien,,,
ANB,KANB,Anniston Regional Airport,United States of America,Anniston,,,
ANC,PANC,Ted Stevens Anchorage International Airport,United States of America,Anchorage,,,
AND,KAND,Anderson Regional Airport,United States of America,Anderson,,,
ANE,LFJR,Angers Marcé airport,France,Angers,,,
ANF,SCFA,Andrés Sabella Gálvez International Airport,Chile,Antofagasta,,,
ANG,LFBU,Angoulême Brie-Champniers airport,France,Angoulême,,,
ANI,PANI,Aniak Airport,United States of America,Aniak,,,
ANJ,FCBZ,Zanaga Airport,Republic of the Congo,Zanaga,,,
ANL,,Andulo Airport,Angola,Andulo,,,
ANM,FMNH,Antsirabe Airport,Madagascar,Antsirabe,,,
ANN,PANT,Annette Island Airport,United States of America,Metlakatla,,,
ANO,FQAG,Angoche Airport,Mozambique,Angoche,,,
ANP,KANP,Lee Airport,United States of America,Annapolis,,,
ANQ,KANQ,Tri State Steuben County Airport,United States of America,Angola,,,
ANR,EBAW,Antwerp International Airport (Deurne),Belgium,Antwerp,,,
ANS,SPHY,Andahuaylas Airport,Peru,Andahuaylas,,,
ANU,TAPA,V. C. Bird International Airport,Antigua and Barbuda,Osbourn,,,
ANV,PANV,Anvik Airport,United States of America,Anvik,,,
ANW,KANW,Ainsworth Regional Airport,United States of America,Ainsworth,,,
ANX,ENAN,"Andøya Airport, Andenes",Norway,Andenes,,,
ANY,KANY,Anthony Municipal Airport,United States of America,Anthony,,,
ANZ,,Angus Downs Airport,Australia,Angus Downs Station,,,
AOB,,Annanberg Airport,Papua New Guinea,,,,
AOC,EDAC,Leipzig-Altenburg Airport,Germany,Nobitz,,,
AOD,,Abou-Deïa Airport,Chad,Abou-Deïa,,,
AOE,LTBY,Hasan Polatkan Airport,Turkey,Eskişehir,,,
AOG,ZYAS,Anshan Teng'ao Airport / Anshan Air Base,China,Anshan,,,
AOH,KAOH,Lima Allen County Airport,United States of America,Lima,,,
AOI,LIPY,Marche Airport,Italy,Falconara Marittima (AN),,,
AOJ,RJSA,Aomori Airport,Japan,Aomori,,,
AOK,LGKP,Karpathos Airport,Greece,Karpathos Island,,,
AOL,SARL,Paso De Los Libres Airport,Argentina,Paso de los Libres,,,
AOM,,Adam Airport,Oman,Adam,,,
AOO,KAOO,Altoona Blair County Airport,United States of America,Altoona,,,
AOP,SPAS,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Peru,Andoas,,,
AOR,WMKA,Sultan Abdul Halim Airport,Malaysia,Alor Satar,,,
AOT,LIMW,Aosta Corrado Gex Airport,Italy,Saint-Christophe (AO),,,
AOU,VLAP,Attopeu Airport,Laos,Attopeu,,,
APA,KAPA,Centennial Airport,United States of America,Denver,,,
APB,SLAP,Apolo Airport,Bolivia,Apolo,,,
APC,KAPC,Napa County Airport,United States of America,Napa,,,
APF,KAPF,Naples Municipal Airport,United States of America,Naples,,,
APG,KAPG,Phillips Army Air Field,United States of America,Aberdeen,,,
APH,KAPH,Mary Walker LZ Airport,United States of America,Bowling Green,,,
APJ,,Ali Pulan Airport,China,Burang Town,,,
APK,NTGD,Apataki Airport,French Polynesia,Apataki,,,
APL,FQNP,Nampula Airport,Mozambique,Nampula,,,
APN,KAPN,Alpena County Regional Airport,United States of America,Alpena,,,
APO,SKLC,Antonio Roldán Betancur Airport,Colombia,Carepa,,,
APP,,Asapa Airport,Papua New Guinea,,,,
APQ,SNAL,Arapiraca Airport,Brazil,Arapiraca,,,
APR,,April River Airport,Papua New Guinea,April River,,,
APS,SWNS,Anápolis Airport,Brazil,Anápolis,,,
APT,KAPT,Marion County Airport - Brown Field,United States of America,Jasper,,,
APU,SSAP,Captain João Busse Airport,Brazil,Apucarana,,,
APV,KAPV,Apple Valley Airport,United States of America,Apple Valley,,,
APW,NSFA,Faleolo International Airport,Samoa,Apia,,,
APX,SSOG,Arapongas Airport,Brazil,Arapongas,,,
APY,SNAI,Alto Parnaíba Airport,Brazil,Alto Parnaíba,,,
APZ,SAHZ,Zapala Airport,Argentina,Zapala,,,
AQA,SBAQ,Araraquara Airport,Brazil,Araraquara,,,
AQB,MGQC,Quiché Airport,Guatemala,Santa Cruz del Quiché,,,
AQG,ZSAQ,Anqing Tianzhushan Airport / Anqing North Air Base,China,Anqing,,,
AQI,OEPA,Qaisumah-Hafar Al-Batin International Airport,Saudi Arabia,Qaisumah,,,
AQJ,OJAQ,King Hussein International Airport,Jordan,Aqaba,,,
AQP,SPQU,Rodríguez Ballón International Airport,Peru,Arequipa,,,
AQY,,Girdwood-Alyeska Airport,United States of America,Girdwood,,,
ARA,KARA,Acadiana Regional Airport,United States of America,New Iberia,,,
ARB,KARB,Ann Arbor Municipal Airport,United States of America,Ann Arbor,,,
ARC,PARC,Arctic Village Airport,United States of America,Arctic Village,,,
ARD,WATM,Alor Island - Mali Airport,Indonesia,Kabola,,,
ARE,TJAB,Antonio Nery Juarbe Pol Airport,Puerto Rico,Arecibo,,,
ARF,,Acaricuara Airport,Colombia,Acaricuara,,,
ARG,KARG,Walnut Ridge Regional Airport,United States of America,Walnut Ridge,,,
ARH,ULAA,Talagi Airport,Russia,Archangelsk,,,
ARI,SCAR,Chacalluta International Airport,Chile,Arica,,,
ARK,HTAR,Arusha Airport,Tanzania,Arusha,,,
ARL,DFER,Arly Airport,Burkina Faso,Arly,,,
ARM,YARM,Armidale Airport,Australia,Armidale,,,
ARN,ESSA,Stockholm-Arlanda Airport,Sweden,Stockholm,,,
ARO,,Arboletes Airport,Colombia,Arboletes,,,
ARP,,Aragip Airport,Papua New Guinea,,,,
ARR,SAVR,D. Casimiro Szlapelis Airport,Argentina,Alto Rio Senguerr,,,
ARS,SJVO,Aragarças Airport,Brazil,Aragarças,,,
ART,KART,Watertown International Airport,United States of America,Watertown,,,
ARU,SBAU,Araçatuba Airport,Brazil,Araçatuba,,,
ARV,KARV,Lakeland Airport Noble F Lee Memorial Field,United States of America,Woodruff,,,
ARW,LRAR,Arad International Airport,Romania,Arad,,,
ARX,SBAC,Aracati Dragão do Mar Regional Airport,Brazil,Aracati,,,
ARY,YARA,Ararat Airport,Australia,Ararat,,,
ARZ,FNZE,N'zeto Airport,Angola,N'zeto,,,
ASA,HHSB,Assab International Airport,Eritrea,Assab,,,
ASB,UTAA,Ashgabat International Airport,Turkmenistan,Ashgabat,,,
ASC,SLAS,Ascención de Guarayos Airport,Bolivia,Ascensión de Guarayos,,,
ASD,MYAF,Andros Town Airport,Bahamas,Andros Town,,,
ASE,KASE,Aspen-Pitkin County Airport (Sardy Field),United States of America,Aspen,,,
ASF,URWA,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Russia,Astrakhan,,,
ASG,NZAS,Ashburton Airport,New Zealand,Ashburton,,,
ASH,KASH,Nashua Airport / Boire Field,United States of America,Nashua,,,
ASI,FHAW,RAF Ascension Island,"Saint Helena, Ascension and Tristan da Cunha",Cat Hill,,,
ASJ,RJKA,Amami Airport,Japan,Amami,,,
ASK,DIYO,Yamoussoukro International Airport,Ivory Coast,Yamoussoukro,,,
ASL,KASL,Harrison County Airport,United States of America,Marshall,,,
ASM,HHAS,Asmara International Airport,Eritrea,Asmara,,,
ASN,KASN,Talladega Municipal Airport,United States of America,Talladega,,,
ASO,HASO,Asosa Airport,Ethiopia,Asosa,,,
ASP,YBAS,Alice Springs Airport,Australia,Alice Springs,,,
ASQ,,Austin Airport,United States of America,Austin,,,
ASR,LTAU,Kayseri Erkilet International Airport,Turkey,Kayseri,,,
ASS,FACC,Arathusa Safari Lodge Airport,South Africa,Arathusa,,,
AST,KAST,Astoria Regional Airport,United States of America,Astoria,,,
ASU,SGAS,Silvio Pettirossi International Airport,Paraguay,Asunción,,,
ASV,HKAM,Amboseli Airport,Kenya,Ol Tukai,,,
ASW,HESN,Aswan International Airport,Egypt,Aswan,,,
ASX,KASX,John F Kennedy Memorial Airport,United States of America,Ashland,,,
ASY,KASY,Ashley Municipal Airport,United States of America,Ashley,,,
ASZ,,Asirim Airport,Papua New Guinea,,,,
ATA,SPHZ,Comandante FAP German Arias Graziani Airport,Peru,Anta,,,
ATB,HSAT,Atbara Airport,Sudan,Atbara,,,
ATC,MYCA,Arthur's Town Airport,Bahamas,Arthur's Town,,,
ATD,AGAT,Uru Harbour Airport,Solomon Islands,Atoifi,,,
ATE,,Antlers Municipal Airport,United States of America,Antlers,,,
ATF,SEAM,Chachoán Regional Airport,Ecuador,Ambato,,,
ATH,LGAV,Athens Eleftherios Venizelos International Airport,Greece,Spata-Artemida,,,
ATI,SUAG,Artigas International Airport,Uruguay,Artigas,,,
ATJ,FMME,Antsirabe Airport,Madagascar,Antsirabe,,,
ATK,PATQ,Atqasuk Edward Burnell Sr Memorial Airport,United States of America,Atqasuk,,,
ATL,KATL,Hartsfield Jackson Atlanta International Airport,United States of America,Atlanta,,,
ATM,SBHT,Altamira Interstate Airport,Brazil,Altamira,,,
ATN,,Namatanai Airport,Papua New Guinea,Namatanai,,,
ATO,KUNI,Ohio University Airport,United States of America,Albany,,,
ATP,,Aitape Airport,Papua New Guinea,Aitape,,,
ATQ,VIAR,Sri Guru Ram Das Ji International Airport,India,Amritsar,,,
ATR,GQPA,Atar International Airport,Mauritania,Atar,,,
ATS,KATS,Artesia Municipal Airport,United States of America,Artesia,,,
ATT,,Atmautluak Airport,United States of America,Atmautluak,,,
ATV,FTTI,Ati Airport,Chad,Ati,,,
ATW,KATW,Appleton International Airport,United States of America,Appleton,,,
ATX,,Atbasar Airport,Kazakhstan,Atbasar,,,
ATY,KATY,Watertown Regional Airport,United States of America,Watertown,,,
ATZ,HEAT,Asyut International Airport,Egypt,Asyut,,,
AUA,TNCA,Queen Beatrix International Airport,Aruba,Oranjestad,,,
